ORF,Protein Molecules/Cell
YGR217W,NA
YGR218W,655
YGR219W,61
YGR220C,161
YGR222W,NA
YGR229C,459
YGR231C,68
YGR232W,106
YGR233C,76
YGR234W,231
YGR235C,218
YGR237C,NA
YGR238C,NA
YGR239C,107
YGR240C,5999
YGR241C,141
YGR243W,NA
YGR244C,363
YGR246C,64
YGR247W,83
YGR248W,NA
YGR250C,139
YGR251W,139
YGR252W,42
YGR253C,NA
YGR254W,1106
YGR255C,NA
YGR256W,NA
YGR257C,55
YGR258C,39
YGR260W,171
YGR261C,222
YGR262C,157
YGR263C,NA
YGR264C,1915
YGR266W,127
YGR267C,NA
YGR268C,52
YGR269W,156
YGR270W,124
YGR271C-A,210
YGR271W,144
YGR272C,NA
YGR274C,81
